Image,xmin,ymin,xmax,ymax,Category,Label_SA,Label_CA,Valence,Arousal,Dominance
HECO_0016.png,79.74638181,117.176922,262.5279118,547.6857716,Disgust,Extremely-Sa,Mildly-Ca,5,8,7
HECO_0016.png,503.8842178,22.60612555,673.9627843,404.4180725,Sadness,Extremely-Sa,Highly-Ca,4,8,9
HECO_0017.png,212.9283668,172.4350649,432.252149,362.4805195,Peace,ExtremelyN-Sa,Neutral,5,4,5
HECO_0017.png,584.6189112,148.9545455,764.5386819,342.6688312,Peace,ExtremelyN-Sa,Neutral,3,3,4
HECO_0017.png,804.6286161,163.6340393,931.9280688,358.9492695,Anger,ExtremelyN-Sa,Mildly-Ca,2,3,5
HECO_0018.png,682.4314266,175.6171875,777.7036527,389.4005208,Surprise,ExtremelyN-Sa,Neutral,6,4,5
HECO_0018.png,239.9448656,171.3838542,399.4376292,409.8616319,Disgust,ExtremelyN-Sa,Mildly-Ca,3,4,6
HECO_0018.png,498.9441764,162.2116319,654.9083391,330.8394097,Anger,ExtremelyN-Sa,Highly-Ca,1,3,3
HECO_0019.png,598.4507236,3.186851343,984.4796692,571.3065095,Excitement,Extremely-Sa,Highly-Ca,7,8,8
HECO_0019.png,115.0323915,28.59344475,574.4562371,568.4835546,Happiness,Slightly-Sa,Mildly-Ca,8,7,6
HECO_0020.png,10.70652394,294.7878788,310.0734071,753.5930736,Happiness,Neutral,Slightly-Ca,6,4,7
HECO_0020.png,377.7081473,270.4069264,665.9873681,641.6623377,Sadness,ExtremelyN-Sa,Neutral,4,4,6
HECO_0021.png,554.9991342,206.5227273,954.9852814,794.1818182,Sadness,ExtremelyN-Sa,Slightly-Ca,3,3,5
HECO_0022.png,356.3886975,146.3185391,602.6850448,422.1774348,Peace,ExtremelyN-Sa,Slightly-Ca,3,3,5
HECO_0022.png,654.2026189,133.6191526,996.4769125,571.747987,Excitement,Extremely-Sa,Highly-Ca,8,5,8
HECO_0023.png,68.3623681,46.54545455,654.8997058,1011.809524,Peace,SlightlyN-Sa,Neutral,5,4,6
HECO_0024.png,106.4513338,60.52380952,857.2862293,651,Anger,Extremely-Sa,Highly-Ca,4,10,8
HECO_0025.png,133.8181818,89.76623377,529.038961,707.3246753,Anger,SlightlyN-Sa,Neutral,5,3,7
HECO_0025.png,623.7922078,106.3896104,898.0779221,763.8441558,Peace,SlightlyN-Sa,Neutral,5,5,6
HECO_0026.png,1.246753247,23.27272727,1023.584416,560.2077922,Peace,ExtremelyN-Sa,Neutral,2,1,3
HECO_0027.png,650.5931835,0,772.3741842,367.5,Excitement,Neutral,Slightly-Ca,7,5,6
HECO_0027.png,35.00507614,182.6363636,395.1501088,676.3484848,Happiness,Slightly-Sa,Slightly-Ca,6,5,7
HECO_0028.png,189.5064935,38.78787879,628.3636364,967.4805195,Surprise,Extremely-Sa,Highly-Ca,7,10,10
HECO_0029.png,0.138428262,222.1666667,231.221341,676.8333333,Peace,ExtremelyN-Sa,Neutral,4,4,6
HECO_0029.png,504.3864456,203.7142857,922.2552271,677.5714286,Sadness,ExtremelyN-Sa,Neutral,4,4,4
HECO_0030.png,216.5194805,350.7532468,669.5064935,762.1818182,Peace,ExtremelyN-Sa,Neutral,5,4,5
HECO_0030.png,219.012987,214.4415584,398.5454545,344.1038961,Sadness,ExtremelyN-Sa,Slightly-Ca,3,3,5
HECO_0030.png,722.7012987,222.7532468,1016.103896,723.1168831,Disgust,ExtremelyN-Sa,Neutral,4,3,5
HECO_0031.png,223.3073593,490.9437229,692.0865801,1016.242424,Happiness,SlightlyN-Sa,Neutral,6,4,6
HECO_0032.png,694.4961373,376.1212121,826.3416309,685.4545455,Surprise,Neutral,Neutral,7,4,6
HECO_0032.png,458.9321888,358.5454545,596.0515021,669.6363636,Excitement,Slightly-Sa,Slightly-Ca,6,5,7
HECO_0032.png,900.1751073,309.3333333,1017.957082,666.1212121,Excitement,Slightly-Sa,Mildly-Ca,7,6,7
HECO_0032.png,19.4472103,378.7575758,219.8523605,683.6969697,Happiness,SlightlyN-Sa,Neutral,6,4,6
HECO_0032.png,243.5845494,232,364.0034335,456.0909091,Peace,ExtremelyN-Sa,Neutral,4,4,6
HECO_0033.png,26.5974026,165.1255411,746.9437229,1009.593074,Peace,ExtremelyN-Sa,Neutral,4,4,6
HECO_0034.png,160.7142042,301.4372294,522.0051379,987.4285714,Sadness,Extremely-Sa,Highly-Ca,5,7,10
HECO_0035.png,79.44388125,298.0194805,384.1969587,666.4664502,Happiness,Neutral,Neutral,7,4,6
HECO_0035.png,608.8689356,285.4166667,891.3772629,679.8106061,Peace,ExtremelyN-Sa,Slightly-Ca,3,4,5
HECO_0036.png,6.233766234,355.7402597,288.8311688,756.3636364,Happiness,Neutral,Mildly-Ca,8,5,6
HECO_0036.png,289.6623377,232.7272727,459.2207792,471.2727273,Excitement,SlightlyN-Sa,Neutral,6,4,6
HECO_0036.png,540.6753247,190.3376623,721.038961,381.5064935,Disgust,ExtremelyN-Sa,Neutral,4,4,5
HECO_0036.png,746.3896104,263.4805195,1013.61039,664.9350649,Sadness,ExtremelyN-Sa,Neutral,4,4,5
HECO_0037.png,389.0092387,387.8787879,669.3937298,781.2987013,Surprise,Extremely-Sa,Mildly-Ca,7,6,8
HECO_0037.png,39.89660743,372.3636364,292.5924374,838.9264069,Happiness,Extremely-Sa,Mildly-Ca,8,6,7
HECO_0038.png,826.574514,193.8344156,1018.25198,488.6396104,Disgust,ExtremelyN-Sa,Neutral,4,4,5
HECO_0038.png,4.573074154,128.2402597,418.8912887,678.0519481,Peace,ExtremelyN-Sa,Neutral,4,4,5
HECO_0039.png,2.077922078,0.831168831,379.4285714,758.8571429,Excitement,Neutral,Neutral,6,5,6
HECO_0039.png,387.7402597,0,1024,758.8571429,Happiness,ExtremelyN-Sa,Neutral,6,4,5
HECO_0040.png,200.034632,191.7229437,498.1471861,826.7359307,Disgust,ExtremelyN-Sa,Neutral,4,5,5
HECO_0040.png,528.6233766,214.995671,759.6883117,713.6969697,Happiness,SlightlyN-Sa,Neutral,7,4,5
HECO_0041.png,2.454618474,330.6493506,533.7831325,755.8874459,Happiness,Slightly-Sa,Slightly-Ca,7,5,7
HECO_0042.png,359.0649351,129.6623377,608,763.012987,Surprise,Neutral,Neutral,7,4,6
HECO_0042.png,643.7402597,183.6883117,1024,758.025974,Sadness,ExtremelyN-Sa,Slightly-Ca,3,3,5
HECO_0043.png,281.9399142,65.90909091,740.1030043,917.2348485,Peace,ExtremelyN-Sa,Neutral,5,3,5
HECO_0044.png,45.22743682,177.4025974,464.4389892,674.1298701,Peace,ExtremelyN-Sa,Slightly-Ca,3,5,5
HECO_0044.png,746.1314079,121.9642857,1024,663.0422078,Peace,ExtremelyN-Sa,Slightly-Ca,3,5,5
HECO_0045.png,589.9820813,72.28009535,834.1612681,592,Disgust,Slightly-Sa,Highly-Ca,3,8,7
HECO_0045.png,161.6099242,0.308700834,302.7539628,576.7854589,Anger,Neutral,Slightly-Ca,5,7,6
HECO_0046.png,366.1298701,357.4025974,514.9090909,725.6103896,Surprise,Slightly-Sa,Slightly-Ca,6,7,7
HECO_0046.png,528.2077922,392.3116883,644.5714286,723.1168831,Disgust,ExtremelyN-Sa,Slightly-Ca,3,5,5
HECO_0046.png,845.7142857,368.2077922,951.2727273,706.4935065,Anger,SlightlyN-Sa,Neutral,5,5,6
HECO_0047.png,19.37592868,182.5974026,364.7667162,695.3917749,Anger,Slightly-Sa,Slightly-Ca,5,6,7
HECO_0047.png,657.6641902,6.086580087,1023.59584,698.4350649,Disgust,Neutral,Slightly-Ca,5,6,6
HECO_0048.png,312.2722665,138.6309524,671.8957277,620.5032468,Peace,SlightlyN-Sa,Slightly-Ca,4,7,5
HECO_0049.png,416.3812274,133.7911255,865.166787,677.8257576,Sadness,ExtremelyN-Sa,Slightly-Ca,2,3,3
HECO_0050.png,63.16883117,161.8008658,424.4502165,999.6190476,Excitement,Extremely-Sa,Mildly-Ca,6,8,8
HECO_0051.png,21.0699187,202.8051948,427.1683435,883.2554113,Sadness,Extremely-Sa,Highly-Ca,4,8,8
HECO_0052.png,101.8957983,47.65367965,576.8499737,941.991342,Surprise,Neutral,Mildly-Ca,9,4,6
HECO_0053.png,590.5454545,177.038961,1021.090909,763.8441558,Happiness,Neutral,Neutral,6,5,6
HECO_0053.png,0,125.5064935,398.5454545,757.1948052,Peace,SlightlyN-Sa,Neutral,6,5,5
HECO_0054.png,28.81385281,0,508.6753247,1014.025974,Peace,SlightlyN-Sa,Neutral,5,5,6
HECO_0055.png,239.3766234,97.52380952,717.021645,1009.593074,Sadness,ExtremelyN-Sa,Slightly-Ca,3,4,5
HECO_0056.png,25.40592695,30.0164177,640.7939352,610.142686,Peace,Slightly-Sa,Highly-Ca,3,7,7
HECO_0057.png,133.5867531,123.8181818,530.2116631,605.0876623,Anger,ExtremelyN-Sa,Neutral,4,3,3
HECO_0057.png,586.9776818,125.2922078,856.0633549,606.5616883,Disgust,ExtremelyN-Sa,Neutral,3,4,4
HECO_0058.png,207.8844765,104.9632035,294.3884477,405.0692641,Peace,ExtremelyN-Sa,Highly-Ca,1,5,5
HECO_0058.png,473.3111913,134.530303,588.6498195,357.0227273,Surprise,Slightly-Sa,Mildly-Ca,8,6,6
HECO_0058.png,697.334296,112.3549784,811.1942238,379.9372294,Sadness,ExtremelyN-Sa,Slightly-Ca,3,5,4
HECO_0058.png,857.7732852,76.13528139,1009.340072,671.9123377,Disgust,Neutral,Slightly-Ca,4,6,6
HECO_0059.png,453.6362329,91.25541126,785.6448598,601.991342,Sadness,ExtremelyN-Sa,Slightly-Ca,3,3,5
HECO_0060.png,88.51948052,3.324675325,617.1428571,645.8181818,Sadness,ExtremelyN-Sa,Neutral,3,3,1
HECO_0061.png,302.3120434,140.7445887,661.5523032,1004.051948,Excitement,Neutral,Slightly-Ca,7,5,6
HECO_0062.png,222.4816679,217.8354978,427.8705967,604.1991342,Peace,ExtremelyN-Sa,Slightly-Ca,3,4,5
HECO_0062.png,435.232207,172.2077922,664.91445,588.7445887,Peace,ExtremelyN-Sa,Slightly-Ca,3,3,6
HECO_0063.png,29.70108303,17.00108225,420.8173285,500.4231602,Sadness,ExtremelyN-Sa,Neutral,4,4,6
HECO_0063.png,470.3537906,0,947.234657,672.6515152,Happiness,ExtremelyN-Sa,Neutral,6,4,5
HECO_0064.png,170.9169675,45.08982684,461.4815884,677.0865801,Peace,Neutral,Slightly-Ca,4,6,6
HECO_0064.png,732.0837545,77.61363636,1010.079422,683,Peace,ExtremelyN-Sa,Neutral,4,5,5
HECO_0065.png,16.39277978,53.22077922,213.799278,478.2478355,Surprise,Neutral,Slightly-Ca,8,4,6
HECO_0065.png,482.1833935,53.22077922,652.9732852,388.0681818,Fear,ExtremelyN-Sa,Neutral,5,4,3
HECO_0065.png,844.4649819,36.95887446,1012.297473,580.254329,Disgust,ExtremelyN-Sa,Neutral,4,5,5
HECO_0066.png,135.9971084,121.9047619,562.8721084,997.4025974,Peace,Slightly-Sa,Slightly-Ca,5,6,7
HECO_0067.png,95.57308632,1.108225108,619.4167345,765.7835498,Fear,ExtremelyN-Sa,Neutral,6,6,4
HECO_0068.png,865.6623377,199.4805195,1011.948052,753.8701299,Happiness,Slightly-Sa,Mildly-Ca,7,6,7
HECO_0068.png,497.4545455,201.974026,653.7142857,748.8831169,Disgust,SlightlyN-Sa,Mildly-Ca,3,5,6
HECO_0068.png,136.7272727,226.9090909,312.9350649,733.0909091,Sadness,ExtremelyN-Sa,Neutral,4,5,4
HECO_0068.png,340.3636364,219.4285714,490.8051948,743.0649351,Peace,ExtremelyN-Sa,Neutral,5,5,5
HECO_0069.png,101.2637868,2.216450216,629.7049632,1010.701299,Happiness,Extremely-Sa,Highly-Ca,6,6,10
HECO_0070.png,114.3757178,93.22077922,627.635767,758.3636364,Disgust,ExtremelyN-Sa,Neutral,4,2,3
HECO_0071.png,178.3205221,4.454545455,398.8629442,425.4090909,Happiness,Neutral,Slightly-Ca,6,6,6
HECO_0071.png,412.9717186,106.9090909,616.4350979,651.8484848,Excitement,Extremely-Sa,Highly-Ca,8,7,10
HECO_0071.png,827.3241479,30.43939394,948.3625816,406.1060606,Sadness,ExtremelyN-Sa,Mildly-Ca,2,4,5
HECO_0072.png,180.5285199,141.9220779,459.2635379,575.0800866,Surprise,Slightly-Sa,Mildly-Ca,8,5,7
HECO_0072.png,574.6021661,143.4004329,1007.122022,617.2132035,Peace,ExtremelyN-Sa,Slightly-Ca,3,3,5
HECO_0073.png,534.7186147,222.7532468,840.5887446,984.1038961,Sadness,Extremely-Sa,Highly-Ca,4,8,8
HECO_0074.png,156.1855023,155.1515152,507.4427321,976.3463203,Excitement,Extremely-Sa,Highly-Ca,8,10,8
HECO_0075.png,578.9090909,299.2207792,700.2597403,549.4025974,Disgust,ExtremelyN-Sa,Mildly-Ca,3,4,6
HECO_0075.png,93.50649351,227.7402597,234.8051948,597.6103896,Anger,Slightly-Sa,Slightly-Ca,5,6,7
HECO_0075.png,325.4025974,209.4545455,569.7662338,617.5584416,Excitement,Extremely-Sa,Highly-Ca,8,10,9
HECO_0076.png,186.4433213,97.57142857,630.0534296,668.9556277,Peace,Slightly-Sa,Slightly-Ca,5,8,6
HECO_0076.png,658.8880866,168.5324675,945.7559567,644.5627706,Sadness,ExtremelyN-Sa,Neutral,4,3,3
HECO_0077.png,420.0779783,142.6612554,681.8079422,619.4307359,Disgust,SlightlyN-Sa,Mildly-Ca,3,5,6
HECO_0077.png,692.1588448,90.91883117,993.8137184,668.9556277,Happiness,Neutral,Slightly-Ca,7,5,6
HECO_0078.png,608.8311688,265.1428571,750.1298701,438.025974,Fear,ExtremelyN-Sa,Slightly-Ca,3,4,5
HECO_0078.png,249.7662338,212.7792208,468.3636364,517.8181818,Sadness,ExtremelyN-Sa,Neutral,3,2,4
HECO_0079.png,179.1168831,269.2987013,923.8441558,564.3636364,Peace,ExtremelyN-Sa,Neutral,3,1,4
HECO_0080.png,721.732852,364.4145022,881.432491,633.4751082,Peace,ExtremelyN-Sa,Mildly-Ca,2,3,5
HECO_0080.png,313.6115523,345.1958874,511.0180505,622.3874459,Anger,ExtremelyN-Sa,Neutral,4,3,6
HECO_0080.png,124.3379061,337.0649351,306.9574007,625.3441558,Disgust,ExtremelyN-Sa,Mildly-Ca,2,4,4
HECO_0081.png,5.594226143,151.1428571,251.1242983,533.1071429,Disgust,ExtremelyN-Sa,Neutral,4,4,3
HECO_0081.png,444.0994387,161.8214286,655.1403368,381.9642857,Peace,SlightlyN-Sa,Slightly-Ca,4,3,7
HECO_0082.png,57.2069211,325.8181818,399.7210209,903.2034632,Happiness,Neutral,Slightly-Ca,4,5,7
HECO_0082.png,712.3067042,338.008658,996.0724309,794.5974026,Peace,ExtremelyN-Sa,Mildly-Ca,3,4,6
HECO_0083.png,353.7688442,147.7045455,569.1543431,445.3181818,Peace,ExtremelyN-Sa,Slightly-Ca,3,3,5
HECO_0083.png,577.2404882,105.8181818,852.9045226,666.5075758,Excitement,Slightly-Sa,Slightly-Ca,7,3,8
HECO_0084.png,150.025974,111.3766234,535.6883117,655.7922078,Peace,Slightly-Sa,Highly-Ca,3,6,8
HECO_0084.png,548.987013,124.6753247,981.1948052,700.6753247,Happiness,ExtremelyN-Sa,Highly-Ca,2,4,6
HECO_0085.png,73.72467532,160.4318182,488.6441558,808.3636364,Happiness,Slightly-Sa,Mildly-Ca,8,7,6
HECO_0085.png,502.8294372,78,884.0588745,795.9545455,Happiness,Extremely-Sa,Mildly-Ca,6,6,8
HECO_0086.png,758.3228916,273.0735931,994.37751,738.6147186,Peace,SlightlyN-Sa,Neutral,5,4,6
HECO_0086.png,44.40160643,250.04329,305.9534137,739.4372294,Sadness,ExtremelyN-Sa,Slightly-Ca,3,4,5
HECO_0086.png,544.475502,222.0779221,721.3108434,626.7532468,Disgust,SlightlyN-Sa,Slightly-Ca,4,4,7
HECO_0087.png,40.79133574,261.6688312,332.834657,652.6937229,Peace,ExtremelyN-Sa,Neutral,4,4,6
HECO_0087.png,372.7595668,238.754329,491.0555957,423.5487013,Disgust,ExtremelyN-Sa,Slightly-Ca,3,4,5
HECO_0087.png,539.8527076,218.0573593,664.0635379,389.5465368,Fear,Neutral,Slightly-Ca,4,5,7
HECO_0087.png,712.733574,270.538961,914.7032491,587.6461039,Anger,ExtremelyN-Sa,Neutral,4,4,5
HECO_0088.png,165.1255411,294.7878788,607.3073593,943.0995671,Peace,Neutral,Highly-Ca,3,4,8
HECO_0089.png,454.2130175,186.1818182,641.594511,801.2467532,Happiness,Slightly-Sa,Mildly-Ca,4,6,8
HECO_0089.png,243.547433,201.6969697,444.2341213,823.4112554,Excitement,Extremely-Sa,Mildly-Ca,5,6,8
HECO_0090.png,445.0909091,423.8961039,650.3896104,707.3246753,Peace,ExtremelyN-Sa,Neutral,4,4,6
HECO_0090.png,728.5194805,439.6883117,836.5714286,638.3376623,Sadness,ExtremelyN-Sa,Slightly-Ca,3,3,5
HECO_0090.png,108.4675325,405.6103896,332.0519481,729.7662338,Peace,ExtremelyN-Sa,Neutral,5,3,6
HECO_0091.png,328.9250814,202.8051948,612.7717834,654.961039,Anger,Extremely-Sa,Mildly-Ca,7,7,7
HECO_0092.png,94.51403888,159.1948052,252.2793377,474.6363636,Happiness,Slightly-Sa,Slightly-Ca,7,5,7
HECO_0092.png,410.7818575,105.3928571,694.611951,605.8246753,Peace,ExtremelyN-Sa,Neutral,4,3,5
HECO_0093.png,9.558441558,331.6363636,259.7402597,674.0779221,Surprise,Neutral,Slightly-Ca,8,4,6
HECO_0093.png,827.4285714,269.2987013,1024,652.4675325,Happiness,Slightly-Sa,Slightly-Ca,6,5,7
HECO_0094.png,527.3766234,166.2337662,683.6363636,562.7012987,Disgust,Extremely-Sa,Mildly-Ca,4,7,8
HECO_0094.png,827.4285714,413.9220779,1005.298701,654.1298701,Peace,SlightlyN-Sa,Slightly-Ca,4,5,6
HECO_0095.png,0.127075812,70.96103896,235.2404332,660.8246753,Happiness,Extremely-Sa,Mildly-Ca,7,5,8
HECO_0095.png,322.4837545,9.609307359,627.0960289,541.8170996,Fear,Slightly-Sa,Highly-Ca,10,4,7
HECO_0096.png,399.7922078,275.1168831,684.4675325,666.5974026,Peace,ExtremelyN-Sa,Slightly-Ca,3,3,5
HECO_0096.png,721.8701299,286.7532468,1018.597403,751.3766234,Happiness,Neutral,Slightly-Ca,7,4,7
HECO_0096.png,2.909090909,256.8311688,356.987013,681.5584416,Disgust,Slightly-Sa,Slightly-Ca,5,6,7
HECO_0097.png,43.48424069,201.7857143,471.1289398,660.3896104,Peace,Slightly-Sa,Highly-Ca,3,7,7
HECO_0097.png,538.6131805,251.6818182,799.0143266,659.6558442,Peace,Extremely-Sa,Highly-Ca,4,10,10
HECO_0098.png,479.2259928,36.95887446,882.1718412,671.1731602,Peace,SlightlyN-Sa,Neutral,5,5,6
HECO_0099.png,399.3766234,157.9220779,729.3506494,508.6753247,Sadness,ExtremelyN-Sa,Highly-Ca,1,3,3
HECO_0100.png,102.5945629,4.432900433,676.7361814,1011.809524,Peace,SlightlyN-Sa,Neutral,5,5,6
HECO_0101.png,104.8351332,291.1201299,376.8696904,673.6298701,Happiness,Extremely-Sa,Mildly-Ca,5,6,8
HECO_0101.png,458.7012239,463.5811688,656.2764579,681,Excitement,Extremely-Sa,Mildly-Ca,7,6,8
HECO_0101.png,839.8444924,294.8051948,1024,681,Peace,SlightlyN-Sa,Slightly-Ca,4,5,6
HECO_0102.png,372.6202619,37.86765242,667.6113025,435.3180608,Peace,ExtremelyN-Sa,Neutral,4,3,4
HECO_0102.png,16.23156444,8.217710764,361.3287388,378.1360305,Surprise,Neutral,Neutral,7,4,6
HECO_0102.png,693.7229497,50.57477027,836.9841489,269.4195777,Sadness,ExtremelyN-Sa,Neutral,3,4,4
HECO_0103.png,33.99061485,3.324675325,552.8932123,435.5324675,Fear,Slightly-Sa,Mildly-Ca,8,5,7
HECO_0104.png,783.3766234,311.6883117,1000.311688,698.1818182,Peace,ExtremelyN-Sa,Slightly-Ca,3,5,5
HECO_0104.png,371.9480519,186.1818182,642.9090909,564.3636364,Peace,SlightlyN-Sa,Slightly-Ca,4,3,7
HECO_0104.png,142.1298701,329.1428571,360.3116883,540.2597403,Happiness,Neutral,Slightly-Ca,7,5,6
HECO_0105.png,373.6103896,57.35064935,816.6233766,684.0519481,Disgust,Slightly-Sa,Slightly-Ca,7,5,7
HECO_0106.png,479.1688312,146.2857143,963.7402597,756.3636364,Peace,Extremely-Sa,Highly-Ca,6,10,10
HECO_0107.png,18.61083032,34.74134199,334.3133574,641.6060606,Peace,ExtremelyN-Sa,Neutral,4,5,5
HECO_0107.png,389.0252708,165.5757576,627.0960289,632.7359307,Peace,ExtremelyN-Sa,Neutral,4,5,5
HECO_0107.png,674.4144404,209.1872294,954.6281588,667.4772727,Peace,ExtremelyN-Sa,Neutral,4,5,5
HECO_0108.png,47.98782344,67.79220779,489.0715373,672.4675325,Excitement,Extremely-Sa,Highly-Ca,8,7,8
HECO_0108.png,579.4703196,78.7012987,937.9482496,708.3116883,Happiness,Neutral,Neutral,6,5,6
HECO_0109.png,179.1168831,253.5064935,371.9480519,595.9480519,Peace,ExtremelyN-Sa,Neutral,3,3,4
HECO_0109.png,568.1038961,293.4025974,649.5584416,398.1298701,Happiness,Extremely-Sa,Mildly-Ca,6,6,8
HECO_0110.png,276.9206487,180.6406926,714.9206487,1006.268398,Peace,ExtremelyN-Sa,Neutral,4,4,6
HECO_0111.png,768.3119134,175.1850649,996.7711191,668.9556277,Disgust,Neutral,Slightly-Ca,5,6,6
HECO_0111.png,343.9249097,25.13203463,584.9530686,631.2575758,Anger,Extremely-Sa,Highly-Ca,8,6,8
HECO_0112.png,138.7652687,99.74025974,609.4493078,992.969697,Surprise,Extremely-Sa,Highly-Ca,10,5,8
HECO_0113.png,33.63187906,319.1688312,653.9955154,793.4891775,Anger,Neutral,Slightly-Ca,7,5,6
HECO_0114.png,82.30557567,181.6287879,244.0550326,464.8214286,Fear,Extremely-Sa,Mildly-Ca,6,10,7
HECO_0114.png,244.7965243,154.9404762,427.9449674,409.9621212,Anger,Slightly-Sa,Slightly-Ca,5,6,7
HECO_0114.png,524.3388849,163.8365801,607.3859522,340.275974,Peace,ExtremelyN-Sa,Highly-Ca,2,5,5
HECO_0115.png,372.7792208,216.9350649,712.7272727,753.8701299,Excitement,Slightly-Sa,Slightly-Ca,6,6,7
HECO_0116.png,311.2727273,88.1038961,418.4935065,291.7402597,Peace,SlightlyN-Sa,Mildly-Ca,3,6,6
HECO_0116.png,645.4025974,319.1688312,905.5584416,725.6103896,Peace,SlightlyN-Sa,Slightly-Ca,4,5,6
HECO_0117.png,18.7012987,294.2337662,315.4285714,745.5584416,Peace,Extremely-Sa,Highly-Ca,4,8,9
HECO_0117.png,674.4935065,388.1558442,1010.285714,746.3896104,Excitement,Extremely-Sa,Highly-Ca,8,10,7
HECO_0118.png,773.4025974,182.8571429,1004.467532,552.7272727,Anger,ExtremelyN-Sa,Slightly-Ca,3,3,5
HECO_0118.png,342.8571429,132.987013,721.8701299,551.8961039,Peace,SlightlyN-Sa,Slightly-Ca,4,3,7
HECO_0118.png,15.37662338,168.7272727,317.9220779,569.3506494,Disgust,ExtremelyN-Sa,Slightly-Ca,3,4,5
HECO_0119.png,214.5386282,96.09307359,440.0404332,375.5021645,Surprise,Neutral,Slightly-Ca,8,4,6
HECO_0119.png,547.9855596,102.0064935,743.9133574,402.8517316,Excitement,Neutral,Mildly-Ca,8,5,6
HECO_0119.png,750.567509,143.4004329,933.1870036,575.0800866,Happiness,SlightlyN-Sa,Neutral,6,4,6
HECO_0120.png,178.2857143,338.2857143,420.1558442,718.1298701,Disgust,ExtremelyN-Sa,Neutral,4,4,4
HECO_0120.png,455.0649351,260.987013,647.0649351,506.1818182,Sadness,ExtremelyN-Sa,Highly-Ca,1,4,4
HECO_0120.png,747.6363636,190.3376623,956.2597403,523.6363636,Peace,ExtremelyN-Sa,Neutral,4,1,5
HECO_0121.png,40.94561276,37.86363636,425.595359,671.8939394,Disgust,Neutral,Mildly-Ca,4,6,7
HECO_0121.png,482.0304569,127.6969697,868.9079043,674.1212121,Happiness,Extremely-Sa,Mildly-Ca,7,5,8
HECO_0122.png,605.6548736,375.5021645,998.2498195,621.6482684,Surprise,ExtremelyN-Sa,Neutral,7,1,6
